IMAGE          CREATED          CREATED BY                                      SIZE      COMMENT
12cdf4bfcff5   11 seconds ago   CMD ["nginx" "-g" "daemon off;"]                0B        buildkit.dockerfile.v0
<missing>      11 seconds ago   EXPOSE [80/tcp]                                 0B        buildkit.dockerfile.v0
<missing>      11 seconds ago   COPY style.css /usr/share/nginx/html/ # buil…   24.6kB    buildkit.dockerfile.v0
<missing>      11 seconds ago   COPY index.html /usr/share/nginx/html/ # bui…   24.6kB    buildkit.dockerfile.v0
<missing>      11 seconds ago   LABEL description=Experiment 03: Docker Cont…   0B        buildkit.dockerfile.v0
<missing>      11 seconds ago   LABEL maintainer=Shubham Sinha <2301010013>     0B        buildkit.dockerfile.v0
<missing>      11 days ago      RUN /bin/sh -c set -x     && apkArch="$(cat …   51.3MB    buildkit.dockerfile.v0
<missing>      11 days ago      ENV ACME_VERSION=0.4.1                          0B        buildkit.dockerfile.v0
<missing>      11 days ago      ENV NJS_RELEASE=1                               0B        buildkit.dockerfile.v0
<missing>      11 days ago      ENV NJS_VERSION=1.0.0                           0B        buildkit.dockerfile.v0
<missing>      11 days ago      CMD ["nginx" "-g" "daemon off;"]                0B        buildkit.dockerfile.v0
<missing>      11 days ago      STOPSIGNAL SIGQUIT                              0B        buildkit.dockerfile.v0
<missing>      11 days ago      EXPOSE map[80/tcp:{}]                           0B        buildkit.dockerfile.v0
<missing>      11 days ago      ENTRYPOINT ["/docker-entrypoint.sh"]            0B        buildkit.dockerfile.v0
<missing>      11 days ago      COPY 30-tune-worker-processes.sh /docker-ent…   16.4kB    buildkit.dockerfile.v0
<missing>      11 days ago      COPY 20-envsubst-on-templates.sh /docker-ent…   12.3kB    buildkit.dockerfile.v0
<missing>      11 days ago      COPY 15-local-resolvers.envsh /docker-entryp…   12.3kB    buildkit.dockerfile.v0
<missing>      11 days ago      COPY 10-listen-on-ipv6-by-default.sh /docker…   12.3kB    buildkit.dockerfile.v0
<missing>      11 days ago      COPY docker-entrypoint.sh / # buildkit          8.19kB    buildkit.dockerfile.v0
<missing>      11 days ago      RUN /bin/sh -c set -x     && addgroup -g 101…   5.83MB    buildkit.dockerfile.v0
<missing>      11 days ago      ENV DYNPKG_RELEASE=1                            0B        buildkit.dockerfile.v0
<missing>      11 days ago      ENV PKG_RELEASE=1                               0B        buildkit.dockerfile.v0
<missing>      11 days ago      ENV NGINX_VERSION=1.31.4                        0B        buildkit.dockerfile.v0
<missing>      11 days ago      LABEL maintainer=NGINX Docker Maintainers <d…   0B        buildkit.dockerfile.v0
<missing>      2 months ago     CMD ["/bin/sh"]                                 0B        buildkit.dockerfile.v0
<missing>      2 months ago     ADD alpine-minirootfs-3.24.1-aarch64.tar.gz …   9.31MB    buildkit.dockerfile.v0
